name,best_affinity,round,exhaustiveness,z_score,hit_level
HYDROMORPHONE,-8.577,R5-FDA,16,-1.8310456492984213,L2_Moderate
FUROSEMIDE,-8.358,R5-FDA,16,-1.7278718091479723,L2_Moderate
NAFTAZONE,-8.339,R4,16,-2.166503566863042,L1_Strong
PHENOBARBITAL,-8.299,R4,16,-2.1350592311130345,L1_Strong
LENALIDOMIDE,-8.247,R5-FDA,16,-1.6755782189347306,L2_Moderate
BUFEXAMAC,-8.063,R5-FDA,16,-1.5888933486713397,L2_Moderate
OXYMORPHONE,-8.045,R5-FDA,16,-1.580413307015138,L2_Moderate
TOLOXATONE,-8.017,R5-FDA,16,-1.5672221311054915,L2_Moderate
AVIBACTAM,-7.949,R5-FDA,16,-1.5351864181820645,L2_Moderate
CYCLOBARBITAL,-7.826,R4,16,-1.763229960869207,L2_Moderate
FROVATRIPTAN,-7.82,R5-FDA,16,-1.474412786312622,L3_Absolute
CANTHARIDIN,-7.814,R5-FDA,16,-1.4715861057605546,L3_Absolute
BUTALBITAL,-7.728,R4,16,-1.6861913382816909,L2_Moderate
CARPROFEN,-7.726,R5-FDA,16,-1.430128124330237,L3_Absolute
BACLOFEN,-7.713,R5-FDA,16,-1.4240036498007584,L3_Absolute
APROBARBITAL,-7.675,R4,16,-1.6445275934129322,L2_Moderate
BUTABARBITAL,-7.667,R4,16,-1.638238726262931,L2_Moderate
5-Hydroxytryptophan,-7.664,R1-R3,8,-1.5148566884723926,L2_Moderate
TASIMELTEON,-7.661,R4,16,-1.6335220759004299,L2_Moderate
PRIMIDONE,-7.63,R4,16,-1.609152715694175,L2_Moderate
CYCLANDELATE,-7.623,R5-FDA,16,-1.381603441519752,L3_Absolute
PROCARBAZINE,-7.616,R5-FDA,16,-1.37830564754234,L3_Absolute
GLUTETHIMIDE,-7.611,R4,16,-1.5942166562129216,L2_Moderate
SULBACTAM,-7.601,R5-FDA,16,-1.3712389461621726,L3_Absolute
HYDROFLUMETHIAZIDE,-7.589,R4,16,-1.5769222715504185,L2_Moderate
AMOBARBITAL,-7.583,R4,16,-1.5722056211879174,L2_Moderate
ESKETAMINE,-7.58,R4,16,-1.569847296006667,L2_Moderate
MEPHOBARBITAL,-7.564,R4,16,-1.5572695617066643,L2_Moderate
TALBUTAL,-7.551,R5-FDA,16,-1.3476832748949468,L3_Absolute
ALCLOFENAC,-7.55,R5-FDA,16,-1.347212161469602,L3_Absolute
VINBARBITAL,-7.537,R5-FDA,16,-1.3410876869401234,L3_Absolute
PENTOBARBITAL,-7.488,R4,16,-1.497525323781652,L3_Absolute
TETRAHYDROZOLINE,-7.468,R4,16,-1.4818031559066485,L3_Absolute
PHENICARBAZIDE,-7.466,R5-FDA,16,-1.3076386337406627,L3_Absolute
VORINOSTAT,-7.456,R5-FDA,16,-1.3029274994872178,L3_Absolute
CINOXACIN,-7.449,R5-FDA,16,-1.2996297055098058,L3_Absolute
ASPIRIN,-7.403,R5-FDA,16,-1.2779584879439578,L3_Absolute
MEPHENYTOIN,-7.395,R4,16,-1.424417243162886,L3_Absolute
PROGLUMIDE,-7.388,R5-FDA,16,-1.2708917865637903,L3_Absolute
DEBRISOQUIN,-7.385,R4,16,-1.4165561592253846,L3_Absolute
DEXRAZOXANE,-7.378,R4,16,-1.4110534004691337,L3_Absolute
CENOBAMATE,-7.368,R4,16,-1.4031923165316322,L3_Absolute
TOLCAPONE,-7.362,R5-FDA,16,-1.2586428375048329,L3_Absolute
